author_repo,wf_contents,security_policy
Dogfalo/materialize,pages-build-deployment' 'active' '17250782,
styled-components/styled-components,CodeQL' 'active' '10932338' 'test' 'active' '2374115,
yangshun/front-end-interview-handbook,pages-build-deployment' 'active' '18072529,
evanw/esbuild,CI' 'active' '1237744' 'End-to-end install tests' 'active' '14513109' 'Release' 'active' '3658484' 'Validate release builds' 'active' '23021685,
tabler/tabler,Test build' 'active' '340280' 'Bundlewatch' 'active' '38360226' 'Changed lock files' 'active' '39303034,We take security very seriously and ask that you follow the following process' 'SSuuppppoorrtteedd VVeerrssiioonnss' 'VVeerrssiioonn SSuuppppoorrtteedd' 'x   ' 'x     ' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'If you think you may have found a security bug we ask that you privately send' 'the details to supporttablerio Please make sure to use a descriptive title' 'in the email
Asabeneh/30-Days-Of-JavaScript,,
IanLunn/Hover,pages-build-deployment' 'active' '37170221,
postcss/postcss,Test' 'active' '3453735,
layui/layui,pages-build-deployment' 'active' '26762646,
Advanced-Frontend/Daily-Interview-Question,,
AllThingsSmitty/css-protips,,
iview/iview,,
mdbootstrap/mdb-ui-kit,,
pure-css/pure,Deploy' 'active' '11002703' 'Testing' 'active' '11002390,
haizlin/fe-interview,,
qianguyihao/Web,,
oddoculus/scrollreveal,,
postcss/autoprefixer,Test' 'active' '3453638,
Popmotion/popmotion,,
nostalgic-css/NES.css,,
Asabeneh/30-Days-Of-React,,
you-dont-need/You-Dont-Need-JavaScript,,
vueComponent/ant-design-vue,codecov' 'active' '870940' 'test' 'active' '870941' 'Lock threads' 'active' '877168' 'Close stale issues' 'active' '4157468' 'Issue Reply' 'active' '4481335' 'Translation Helper' 'active' '6037643' 'Issue Close Require' 'active' '6466929' 'Emoji Helper' 'active' '10969596' 'PR Labeled' 'active' '11413095' 'Issue Open Check' 'active' '12700753,SSuuppppoorrtteedd VVeerrssiioonnss' 'Use this section to tell people about which versions of your project are' 'currently being supported with security updates' 'VVeerrssiioonn SSuuppppoorrtteedd' 'x     ' 'x     ' 'x     ' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'Use this section to tell people how to report a vulnerability' 'Tell them where to go how often they can expect to get an update on a reported' 'vulnerability what to expect if the vulnerability is accepted or declined' 'etc
less/less.js,Nodejs Test' 'active' '10970485' '.github/workflows/config.yml' 'disabled_manually' '15737945,
saadeghi/daisyui,Build' ' Publish' ' Deploy' 'active' '8974682' 'pages-build-deployment' 'active' '16578897,
material-components/material-components-web,MDC Test' 'active' '191789' 'MDC Release (Canary)' 'active' '18774' 'MDC Release (Nightly)' 'active' '11471964' 'MDC Release (Pull Request)' 'active' '18775' 'MDC Release' 'active' '263062' 'MDC Test' 'active' '1410,
