author_repo,wf_contents,security_policy
mixxxdj/mixxx,Detect stale issues and pull request' 'active' '3063168' 'pre-commit' 'active' '3071113' 'Pull Request Labeler' 'active' '3081936' 'clazy' 'active' '3583062' 'build Mixxx' 'active' '3619877' 'Build' 'active' '3678850' 'nix-shell-build' 'active' '3817453' 'build-checks' 'active' '4260937' 'Changelog' 'active' '12844439,
pyqtgraph/pyqtgraph,main' 'active' '4459422' 'pypy' 'active' '28824364' 'Upload Python Package' 'active' '14044408,
Serial-Studio/Serial-Studio,CodeQL' 'active' '13504683' 'Deploy' 'active' '14377654,
KDAB/hotspot,.github/workflows/appimage.yml' 'active' '40053581' 'build appimage' 'active' '15405928' 'compile and test' 'active' '29005945' 'pre-commit' 'active' '36176044' 'unit tests' 'active' '18774576' 'test build instructions' 'active' '15404753,
Bitmessage/PyBitmessage,,
nodegui/svelte-nodegui,,
PrismLauncher/PrismLauncher,Build' 'active' '37709441' 'CodeQL Code Scanning' 'active' '40147731' 'Build Application' 'active' '37709442' 'Build Application and Make Release' 'active' '37709443' 'Publish to WinGet' 'active' '37709444,
nuttyartist/notes,macOS' 'active' '12835' 'Windows' 'active' '35755314' 'Linux' 'active' '35755315,
vaibhavpandeyvpz/apkstudio,pages-build-deployment' 'active' '28376264,
vooidzero/B23Downloader,,
mavlink/qgroundcontrol,Android 32-bit Release' 'active' '15849287' 'Android 64-bit Release' 'active' '15849288' 'Android build' 'active' '11880508' 'Android 32/64-bit Release' 'active' '14153499' 'Linux AppImage' 'active' '6881823' 'Build QGC and upload to release' 'active' '6386364' 'Linux - Compile and run unit tests' 'active' '8837494' 'Compile' ' Test and Release' 'active' '8839625' 'Linux Debug and Test' 'active' '9372073' 'Linux Release' 'active' '9372074' 'MacOS Release' 'active' '9372075' 'Windows Release' 'active' '9372698,
gqrx-sdr/gqrx,Build' 'active' '3913329' 'CI' 'active' '3755326' 'MSBuild' 'active' '43936964,
ColinDuquesnoy/QDarkStyleSheet,,
Snipaste/feedback,pages-build-deployment' 'active' '16552298,
eteran/edb-debugger,Build' 'active' '41721792,
f1xpl/openauto,,
srevinsaju/guiscrcpy,Linux' 'active' '108358' 'guiscrcpy Nightly Builds' 'active' '184322' 'Continuous' 'active' '1101177' 'pages-build-deployment' 'active' '16497983,
mkeeter/antimony,,
appleseedhq/appleseed,,
laserpants/qt-material-widgets,,
dvorka/mindforger,macOS build' 'active' '17452559' 'Ubuntu unit tests' 'active' '17301059,SSuuppppoorrtteedd VVeerrssiioonnss' 'The following MindForger versions are currently being supported with security' 'updates' 'VVeerrssiioonn   SSuuppppoorrtteedd' '    ' '  ' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'Please report MindForger vulnerabilities to martindvorakmindforgercom' 'All reported vulnerabilities will be examined reproduced and expected fix' 'release and release date will be shared with the reporter
akiyosi/goneovim,CI' 'active' '21853835' 'test and build' 'active' '652318' 'Release' 'active' '21859436,
pyqt/examples,,
qt/qtbase,Smoke build' 'active' '1632567,
tonquer/picacg-qt,release' 'active' '12240628' 'CI' 'active' '12705422,
XMuli/QtExamples,,
probonopd/linuxdeployqt,Build' 'active' '18477120,
strawberrymusicplayer/strawberry,build' 'active' '36175269' 'Linux' 'active' '32455437,
wonderworks-software/PyFlow,pages-build-deployment' 'active' '27950279,
toggl-open-source/toggldesktop,Build' 'active' '214385' 'Build' 'active' '11284' 'PR Lint' 'active' '1974897' 'Bump version' 'active' '39993' 'pages-build-deployment' 'active' '16744483,
PolyMC/PolyMC,Build' 'active' '19107904' 'Build Application' 'active' '19792207' 'Build Application and Make Release' 'active' '20494202' 'Publish to WinGet' 'active' '29893956,
mikalv/awesome-qt-qml,,
OtterBrowser/otter-browser,,
LibrePCB/LibrePCB,,
easymodo/qimgv,msys2 dev-latest' 'active' '25756815,
GoldenCheetah/GoldenCheetah,,
ksnip/ksnip,linux' 'active' '11636118' 'macOS' 'active' '11551356' 'windows' 'active' '11636119,
equalsraf/neovim-qt,Build And Test' 'active' '11276053' 'Format' 'active' '12164398' 'Linter' 'active' '9924517' 'Bindings' 'active' '10700857,
mortbopet/Ripes,Mac / Qt 5.15' 'active' '7652793' 'Ubuntu 18.04 / Qt 5.15' 'active' '7663773' 'Ripes Tests' 'active' '7664531' 'Release setup' 'active' '7669810' 'Windows / Qt 5.15' 'active' '7672517' 'Run clang-format linter' 'active' '9218388' 'Check code format' 'active' '13991532' 'pages-build-deployment' 'active' '16506423' 'Build docker image' 'active' '20250165' 'Build and deploy docker image' 'active' '20272958' 'Mac' 'disabled_manually' '7638417,
BasioMeusPuga/Lector,,
nitroshare/nitroshare-desktop,,
soramimi/Guitar,pages-build-deployment' 'active' '16958870,
geemion/Khepri,,
cloose/CuteMarkEd,,
meganz/MEGAsync,,
epasveer/seer,ubuntu-latest Developement Build' 'active' '36375690' 'Lint Code Base' 'disabled_manually' '23974089' 'CMake' 'disabled_manually' '24795826' 'debian-bullseye Developement Build' 'disabled_manually' '36376138,
KDAB/GammaRay,,
shundhammer/qdirstat,,
dchapyshev/aspia,sw' 'active' '758698,
ossia/score,Linux distro build' 'active' '6267514' 'Documentation build' 'active' '8255295' 'Template check' 'active' '10024598' 'macOS build' 'active' '11560362' 'Ubuntu build' 'active' '11560363' 'Windows build' 'active' '31365411' 'Embedded build' 'active' '44023977,
mltframework/mlt,build-docker' 'active' '5545711' 'build-test-linux-on-push' 'active' '5518516' 'build-melt-macos' 'active' '4654807,
manisandro/gImageReader,CI Build' 'active' '823531,
Greedysky/TTKMusicPlayer,,
jurplel/qView,Build qView' 'active' '43242723,
JesseTG/awesome-qt,,
rust-qt/ritual,,
jaredtao/TaoQuick,Ubuntu' 'active' '162088' 'Windows' 'active' '162089' 'Android' 'active' '162090' 'IOS' 'active' '162091' 'MacOS' 'active' '162092' 'ios-macos-11_0' 'active' '3963530' 'macos-11_0' 'active' '3963531,
spieglt/FlyingCarpet,pages-build-deployment' 'active' '28219085,
mitchcurtis/slate,Build Packages' 'disabled_manually' '11172915,
