author_repo,wf_contents,security_policy
SoftwareBrothers/adminjs,CI/CD' 'active' '1127792,
jenssegers/laravel-mongodb,CI' 'active' '402233,
samuelclay/NewsBlur,Android CI' 'active' '44527312,
angular-fullstack/generator-angular-fullstack,,
donnemartin/dev-setup,,
yinxin630/fiora,Lint Code Style' 'active' '1062180' 'Unit Test' 'active' '1062181' 'Typescript Type Check' 'active' '2021748' 'CodeQL' 'active' '6659424,
mouredev/Hello-Python,,
mikro-orm/mikro-orm,tests' 'active' '6541' 'docs' 'active' '15121' 'CodeQL' 'active' '2523944' 'pages-build-deployment' 'active' '16400609' 'Release @latest' 'active' '43504759,SSuuppppoorrtteedd VVeerrssiioonnss' 'Only latest majorminor version is supported eg v' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'To report a vulnerability please do not create public issue Instead use one' 'of the following private channels' '     Email can be found at httpsgithubcomBnan' '     Twitter Direct Message to Bnan or MikroOrm at httpstwittercom' '      messagescomposerecipientid' '     Facebook Messenger at httpsmmebnan
coollabsio/coolify,staging-release' 'active' '30456672' 'production-release' 'active' '30457887' 'release-candidate' 'active' '33915050' 'fluent-bit-release' 'active' '40876637' 'pocketbase-release' 'active' '42048673,
FerretDB/FerretDB,Go' 'active' '14782259' 'Docker' 'active' '17075745' 'Integration' 'active' '22463618' 'Conform PR' 'active' '25625479' 'Packages' 'active' '30854609' 'Security' 'active' '33386305' 'Docs' 'active' '33782987,
madhums/node-express-mongoose-demo,,The dependencies will be updated every now and then If there are any severe' 'issues unrelated to the dependencies but more about the code of the project' 'please make an issue or contact me so that I am able to work on it If you are' 'cloning the project newly make sure to be on the latest version of' 'dependencies
hagopj13/node-express-boilerplate,,
santiq/bulletproof-nodejs,,
mongo-express/mongo-express,CodeQL' 'active' '34461680' 'standard-ci' 'active' '14752104,SSuuppppoorrtteedd VVeerrssiioonnss' 'Use this section to tell people about which versions of your project are' 'currently being supported with security updates' 'VVeerrssiioonn SSuuppppoorrtteedd' 'x   ' 'x   ' 'x   ' '    ' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'Use this section to tell people how to report a vulnerability' 'Tell them where to go how often they can expect to get an update on a reported' 'vulnerability what to expect if the vulnerability is accepted or declined' 'etc
FAQGURU/FAQGURU,,
backup/backup,tests' 'active' '33819024' 'lint' 'active' '33815019,
adrianhajdin/project_mern_memories,,
IDSIA/sacred,,
bigchaindb/bigchaindb,,
mongodb/mongoid,Docs' 'active' '41995064' 'Rubocop' 'active' '24552705' 'Run Mongoid Tests' 'active' '12962891,SSuuppppoorrtteedd VVeerrssiioonnss' 'Use this section to tell people about which versions of your project are' 'currently being supported with security updates' 'VVeerrssiioonn SSuuppppoorrtteedd' '     ' '     ' '     ' '     ' '    ' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'Please follow the instructions here to report a vulnerability
MongoEngine/mongoengine,MongoengineCI' 'active' '3626029,
openblocks-dev/openblocks,CodeQL' 'active' '40538941,
mrvautin/adminMongo,,
royeo/awesome-programming-books,,
azat-co/practicalnode,,
mongodb/mongo-python-driver,Notebook Tests' 'active' '16379081' 'Python Tests' 'active' '16140922,
spacecloud-io/space-cloud,Gateway' 'active' '20745900' 'Go' 'active' '43666' 'Runner' 'active' '20745901' 'SpaceCLI' 'active' '20745899' 'SpaceCloud' 'active' '20708303' 'pages-build-deployment' 'active' '44493475,
nosqlclient/nosqlclient,,SSuuppppoorrtteedd VVeerrssiioonnss' 'We no longer support prior  versions' 'VVeerrssiioonn SSuuppppoorrtteedd' '   ' '    ' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'Just use github issues 
async-labs/builderbook,,
Qovery/Replibyte,Build and Test' 'active' '21720756' '.github/workflows/on-release.yml' 'active' '22825249' '.github/workflows/on-tag.yml' 'active' '22825250' 'github pages' 'active' '25249319' 'pages-build-deployment' 'active' '25249383' '.github/workflows/publish-image.yaml' 'active' '26466588,
doramart/DoraCMS,,
async-labs/saas,,
upper/db,unit-tests' 'active' '4053901,
dresende/node-orm2,test' 'active' '14467883,
labring/laf,links when pr' 'active' '42059243' 'links' 'active' '42193420' 'dockerize-runtime-nodejs' 'active' '42653040' 'build-sealos-cluster-image' 'active' '42675556' 'dockerize-controllers' 'active' '42675557' 'dockerize-server' 'active' '42675558' 'release' 'active' '42675559' 'build-scripts-updated' 'active' '42759038' 'dockerize-web' 'active' '42880982,
dunwu/db-tutorial,CI' 'active' '23938361' 'pages-build-deployment' 'active' '17533526,
mongodb/mongo-csharp-driver,pages-build-deployment' 'active' '17563643,
DOClever/DOClever,,
kunalkapadia/express-mongoose-es6-rest-api,,
man-group/arctic,,
crawlab-team/artipub,,
qufei1993/Nodejs-Roadmap,pages-build-deployment' 'active' '23315211,
mongodb/mongo-java-driver,pages-build-deployment' 'active' '18647827,
vasanthv/jsonbox,,
Shpota/goxygen,build' 'active' '756836' 'verify-templates' 'active' '756837,
jakubroztocil/cloudtunes,,
hwholiday/learning_tools,,
deepkit/deepkit-framework,Lint' 'active' '30935382' 'CI' 'active' '5002273' 'Browser' 'active' '30808049' 'Deno' 'active' '30808050' 'GJS' 'active' '30808048' 'Node.js' 'active' '30808047,
emadehsan/thal,,
mattes/migrate,,
rohan-paul/Awesome-JavaScript-Interviews,,
