author_repo,wf_contents,security_policy
pion/webrtc,Acceptance Tests' 'active' '43778494' 'Browser E2E' 'active' '517708' 'CodeQL' 'active' '25450060' 'Examples Tests' 'active' '39633748' 'generate-authors' 'active' '10932821' 'Lint' 'active' '2492642' 'release' 'active' '38037994' 'go-mod-fix' 'active' '861728' 'StandardJS' 'active' '19355869' 'Test' 'active' '2486950' 'Go mod tidy' 'active' '1902972' 'generate-authors' 'active' '10931614,We deeply appreciate any effort to discover and disclose security' 'vulnerabilities responsibly The Pion organisation does not operate a bug' 'bounty program or offer monetary rewards for vulnerabilities but we do' 'acknowledge individuals and organisations in our security bulletins' 'We take all security vulnerabilities seriously but as this project is entirely' 'volunteer driven we may not be able to respond to issues in as timely a manner' 'as we would like We make a good faith effort to respond to reports within ' 'hours' 'If you would like to report a vulnerability in a component under the Pion' 'umbrella please email' '     security at pion dot ly
yjs/yjs,Node.js CI' 'active' '4215399' 'Node.js CI' 'active' '933486,
webtorrent/webtorrent-desktop,ci' 'active' '9833449' 'package' 'active' '13460921' 'Mark stale issues and pull requests' 'active' '11508476,This document outlines security procedures and general policies for the' 'WebTorrent project' '     Reporting a Bug' '     Disclosure Policy' '     Comments on this Policy' 'RReeppoorrttiinngg aa BBuugg' 'The WebTorrent team and community take all security bugs in WebTorrent' 'seriously Thank you for improving the security of WebTorrent We appreciate' 'your efforts and responsible disclosure and will make every effort to' 'acknowledge your contributions' 'Report security bugs by emailing the lead maintainer at ferossferossorg' 'The lead maintainer will acknowledge your email within  hours and will send' 'a more detailed response within  hours indicating the next steps in handling' 'your report After the initial reply to your report the security team will' 'endeavor to keep you informed of the progress towards a fix and full' 'announcement and may ask for additional information or guidance' 'Report security bugs in thirdparty modules to the person or team maintaining' 'the module' 'DDiisscclloossuurree PPoolliiccyy' 'When the security team receives a security bug report they will assign it to a' 'primary handler This person will coordinate the fix and release process' 'involving the following steps' '     Confirm the problem and determine the affected versions' '     Audit code to find any potential similar problems' '     Prepare fixes for all releases still under maintenance These fixes will' '      be released as fast as possible to npm' 'CCoommmmeennttss oonn tthhiiss PPoolliiccyy' 'If you have suggestions on how this process could be improved please submit a' 'pull request
monero-project/monero,ci/gh-actions/build-time-test' 'active' '27359244' 'ci/gh-actions/cli' 'active' '437974' 'ci/gh-actions/depends' 'active' '4156133' 'ci/gh-actions/gitian' 'active' '41942143,
orbitdb/orbit-db,Node.js Package (next tag)' 'active' '13049377' 'Node.js Package' 'active' '13692457' 'Run Tests' 'active' '44259320,
ipfs/js-ipfs,Test' 'active' '13180026' 'Examples' 'active' '18631204' 'Externals' 'active' '18631205' 'Close and mark stale issue' 'active' '28085890,
lbryio/lbry-sdk,.github/workflows/main.yml' 'active' '374260' 'slack' 'active' '11479494' 'pages-build-deployment' 'active' '16753967,SSuuppppoorrtteedd VVeerrssiioonnss' 'While we are not at v yet only the latest release will be supported' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'See httpslbrycomfaqsecurity
beakerbrowser/beaker,,HHooww ttoo rreeppoorrtt aa vvuullnneerraabbiilliittyy' 'If you believe youve discovered a security issue related to Beaker Browser' 'please email us at supportbeakerbrowsercom with a full description of the' 'vulnerability We ask that you please keep the details private until weve had' 'a chance to resolve the issue' 'PPuubblliicc nnoottiiffiiccaattiioonn' 'The Beaker team will coordinate public nofication of the vulnerability with' 'you To protect users we ask that you do not share details of the' 'vulnerability with the public until weve had time to research and address the' 'issue
feross/simple-peer,ci' 'active' '6843321,
berty/berty,Release' 'active' '68111' '' 'active' '159875' '.github/workflows/protobuf.yml' 'active' '1449730' 'Go' 'active' '1632100' 'JS' 'active' '1632203' 'PR' 'active' '1775943' 'Android' 'active' '2598412' 'iOS' 'active' '2608824' 'Integration' 'active' '3404567' 'Dependent Issues' 'active' '4031739' 'CodeQL' 'active' '8312095' 'Pods' 'active' '15397620' 'macOS Release' 'active' '18999714' 'Cancel' 'active' '22167946' 'Monitor self-hosted runners' 'active' '22167947' 'SSH on runner' 'active' '22167948' 'iOS' 'active' '27672998' 'Valist Publish' 'active' '30579850' 'Go benchmark' 'active' '39533089' 'mage-iOS' 'disabled_manually' '4143907,
