author_repo,wf_contents,security_policy
litmuschaos/litmus,Pipeline' 'active' '7102141' 'push-pipeline' 'active' '7102331' 'build-pipeline' 'active' '7102340' 'Litmus-CI' 'active' '7107480' 'reviewdog' 'active' '7182881' 'CodeQL' 'active' '11669799' 'Deploy Docs' 'active' '11901345' 'pages-build-deployment' 'active' '16584676,This page borrows parts of its contents from httpskubernetesiosecurity' 'RReeppoorrtt aa VVuullnneerraabbiilliittyy' 'We are extremely grateful for security researchers and users that report' 'vulnerabilities to the LitmusChaos Open Source Community All reports are' 'thoroughly investigated by a set of community members' 'To make a report submit your vulnerability to all security contacts of' 'LitmusChaos listed below This allows triage and handling of the vulnerability' 'with standardized response times' 'WWhheenn SShhoouulldd II RReeppoorrtt aa VVuullnneerraabbiilliittyy' '     You think you discovered a potential security vulnerability in' '      LitmusChaos' '     You are unsure how a vulnerability affects LitmusChaos' '     You think you discovered a vulnerability in another project that' '      LitmusChaos depends on For projects with their own vulnerability' '      reporting and disclosure process please report it directly there' 'WWhheenn SShhoouulldd II NNOOTT RReeppoorrtt aa VVuullnneerraabbiilliittyy' '     You need help tuning LitmusChaos components for security  please discuss' '      this is in the various LitmusChaos community channels' '     You need help applying securityrelated updates' '     Your issue is not securityrelated' 'SSeeccuurriittyy VVuullnneerraabbiilliittyy RReessppoonnssee' 'Each report is acknowledged and analyzed by the security contacts within ' 'working days This will set off the Security Release Process' 'Any vulnerability information shared with the LitmusChaos security contacts' 'stays within LitmusChaos project and will not be disseminated to other projects' 'unless it is necessary to get the issue fixed' 'PPuubblliicc DDiisscclloossuurree TTiimmiinngg' 'A public disclosure date is negotiated by the LitmusChaos Security Committee' 'and the bug submitter We prefer to fully disclose the bug as soon as possible' 'once a user mitigation is available It is reasonable to delay disclosure when' 'the bug or the fix is not yet fully understood the solution is not well' 'tested or for vendor coordination The timeframe for disclosure is from' 'immediate especially if it is already publicly known to a few weeks For a' 'vulnerability with a straightforward mitigation we expect report date to' 'disclosure date to be on the order of  days The LitmusChaos Security' 'Committee holds the final say when setting a disclosure date' 'PPrroocceessss' 'If you find a securityrelated bug in LitmusChaos we kindly ask you for' 'responsible disclosure and for giving us appropriate time to react analyze' 'and develop a fix to mitigate the found security vulnerability The security' 'contact will investigate the issue within  working days' 'The team will react promptly to fix the security issue and its workaroundfix' 'will be published on our release notes' 'SSeeccuurriittyy CCoonnttaaccttss' 'Defined below are the security contacts for this repository In case you' 'identify any security issue please reach out to all of the security contacts' '     ksatchit karthik satchitanand karthikchaosnativecom' '     rajdas raj babu das rajchaosnativecom
opendevops-cn/opendevops,,
welliamcao/OpsManage,,
dev-sec/ansible-collection-hardening,New release' 'active' '1238338' 'devsec.os_hardening' 'active' '2046394' 'devsec.ssh_hardening' 'active' '2083024' 'devsec.mysql_hardening' 'active' '2104806' 'devsec.nginx_hardening' 'active' '2104807' 'Prettier markdown files' 'active' '3242468' 'Enforce PR labels' 'active' '3428784' 'Publish collection to Ansible Galaxy' 'active' '3552449' 'Ansible Lint' 'active' '12222259' 'devsec.ssh_hardening with custom tests' 'active' '14324688' 'devsec.os_hardening VM' 'active' '29893374' 'devsec.ssh_hardening VM' 'active' '32124081,
ansible/ansible-lint,tox' 'active' '1646926' 'release' 'active' '10445294' 'ack' 'active' '14310043' 'push' 'active' '14351539' 'redirects' 'active' '33714827,SSuuppppoorrtteedd VVeerrssiioonnss' 'Ansible applies security fixes according to the versionsback support policy' 'Please find more information in our docs' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'We encourage responsible disclosure practices for security vulnerabilities' 'Please read our policies for reporting bugs if you want to report a security' 'issue that might affect Ansible
alixaxel/chrome-aws-lambda,AWS Lambda CI' 'active' '7443573,
roots/trellis,Issue closer' 'active' '180338' 'ci' 'active' '17347647' 'Post release topic on Discourse' 'active' '21754308' 'Integration' 'active' '18724397,
ansistrano/deploy,,
davestephens/ansible-nas,CI' 'active' '5723661' 'Deploy to GitHub Pages' 'active' '35397203' 'Test Website Deployment' 'active' '35397204' 'Integration' 'active' '5925990' 'pages-build-deployment' 'active' '33602456,
fboender/ansible-cmdb,,
