author_repo,wf_contents,security_policy
thechangelog/changelog.com,Dagger' 'active' '16020515' 'Build' ' test & create production container image' 'active' '16024745' 'Prod image' 'active' '16198508' 'Ship It!' 'active' '33234718,
sorentwo/oban,ci' 'active' '500247,
blockscout/blockscout,Blockscout' 'active' '1978444' 'Publish Docker image for specific chain branches' 'active' '23432865' 'Publish Docker image on every push to master branch' 'active' '31504492' 'CodeQL' 'active' '32311886' 'Run E2E tests k8s' 'active' '39398024,vulnerabilities responsibly' 'If you would like to report a vulnerability in one of our products or have' 'security concerns regarding BlockScout software please email' 'securityblockscoutcom' 'In order for us to best respond to your report please include any of the' 'following' '     Steps to reproduce or proofofconcept' '     Any relevant tools including versions used' '     Tool output' 'Bounties for critical issues will be discussed case by case in email' 'conversations
edgurgel/httpoison,CI' 'active' '4135030,
quantum-elixir/quantum-core,Main Branch' 'active' '26695147' 'Daily' 'active' '26695148' 'ASDF Update' 'active' '26695149' 'Dependabot' 'active' '26695150' 'Documentation' 'active' '26695151' 'Release' 'active' '26695152' 'Test' 'active' '26695153' 'Detect Tool Versions' 'active' '26695154' 'Pull Request' 'active' '26694735' 'Beta Tag' 'active' '26695155' 'Stable Tag' 'active' '26695156,
elixir-nx/nx,Test' 'active' '9179845,
asciinema/asciinema-server,,
dashbitco/broadway,CI' 'active' '2178120,
nerves-project/nerves,,
devinus/poison,ci' 'active' '11539149,
elixirkoans/elixir-koans,Elixir CI' 'active' '19059721,
thoughtbot/bamboo,,
ScenicFramework/scenic,,
philss/floki,CI' 'active' '227214' 'CI' 'active' '50316,
thoughtbot/ex_machina,,
surface-ui/surface,CI' 'active' '2153738,
phoenixframework/phoenix_live_dashboard,CI' 'active' '623270,
elixir-tesla/tesla,Test' 'active' '167325' 'Hexpm Release' 'active' '27085405' 'Test' 'active' '98414,
bitwalker/libcluster,elixir' 'active' '9026354,
bitwalker/timex,elixir' 'active' '808291,
commanded/commanded,Test' 'active' '1885380,
elixirscript/elixirscript,,
discord/manifold,,
beam-community/elixir-companies,Continuous Integration' 'active' '1058214,
jeremyjh/dialyxir,CI' 'active' '7051322,
discord/sorted_set_nif,CI' 'active' '11566671,
dwyl/learn-elixir,,
ueberauth/ueberauth,Continuous Integration' 'active' '14283173' 'Hexpm Release' 'active' '14283174,SSuuppppoorrtteedd VVeerrssiioonnss' 'EElliixxiirr aanndd EErrllaannggOOTTPP' 'We do our best to follow Elixir Compatibility and Deprecations we are' 'committed to only support the latest version of Elixir' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'You can report a vulnerability by contacting us via Vulnerability Disclosure' 'Discussion
danschultzer/pow,CI' 'active' '3825694,
elixir-wallaby/wallaby,CI' 'active' '107156,
michalmuskala/jason,Elixir CI' 'active' '2201321,
akira/exq,Test' 'active' '4121443' '.github/workflows/hex.yml' 'active' '41499755,
bors-ng/bors-ng,CI' 'active' '6163676,
nccgroup/sobelow,Elixir CI' 'active' '184524' 'Elixir CI' 'active' '273553,
dashbitco/flow,CI' 'active' '1751944,
elixir-lang/gen_stage,CI' 'active' '2180020,
HashNuke/hound,,
elixir-maru/maru,,
whitfin/cachex,CI' 'active' '6075313,
elixir-lang/ex_doc,CI' 'active' '1751903,
