author_repo,wf_contents,security_policy
sourcerer-io/sourcerer-app,,
zetbaitsu/Compressor,,
mozilla-mobile/fenix,AssignTriageLabel' 'active' '393120' 'Android build PR' 'active' '5579522' 'Glean probe-scraper' 'active' '28687179' 'Issue Linker' 'active' '30185574' 'Tag Milestone' 'active' '30185575' 'QA Needed' 'active' '30185576' 'Reopen for QA Needed' 'active' '30185577' 'Fenix - Sync Strings' 'active' '39436086' 'Fenix - Update Android-Components' 'active' '39436087' 'Fenix - Update Nimbus Experiments' 'active' '39436088,RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'Report all security vunerablites to Bugzilla FenixSecurity If they are not a' 'security bug you will be asked to move your report to Fenix GitHub See the' 'Mozilla Security Bug Bounty Program and the client security reporting pages for' 'details In any case where this document and the Mozillaorg pages differ the' 'Mozillaorg pages are the official documentation
javalin/javalin,Java CI' 'active' '198940' 'Test all JDKs on all OSes' 'active' '32086' 'Snapshot build' 'active' '28456200,
skydoves/Pokedex,Android CI' 'active' '1438332,
ACRA/acra,deploy-docs' 'active' '8378003' 'release-build' 'active' '3898022' 'test' 'active' '1801290' 'upload-javadoc' 'active' '1190262,
google/accompanist,Build & test' 'active' '1198712' 'Publish docs' 'active' '2576789' 'Update release' 'active' '2582830' 'Close stale issues and PRs' 'active' '9160062' 'Instrumented tests on device' 'active' '10245205' 'Build & test (snapshot)' 'active' '16609043' 'pages-build-deployment' 'active' '18742044' 'main to snapshot auto merger' 'disabled_manually' '7401786,We use httpsgcovulnz for our intake and triage For valid issues we will' 'do coordination and disclosure here on GitHub including using a GitHub' 'Security Advisory when necessary' 'The Google Security Team will process your report within a day and respond' 'within a week although it will depend on the severity of your report
ankidroid/Anki-Android,Remove Assignees' 'active' '27101311' 'Add/Remove Labels' 'active' '23092108' 'Code Quality Checks' 'active' '4392514' 'PR Milestone' 'active' '23092107' 'OpenCollective PR Notices' 'active' '35210761' 'Publish' 'active' '2245339' 'Mark stale issues and pull requests' 'active' '1451804' 'Sync Translations' 'active' '2295811' 'Emulator Tests' 'active' '4392516' 'Unit Tests' 'active' '4392518' 'Update Gradle Wrapper' 'active' '2652843' 'Update JS Library' 'active' '27399513,
yujincheng08/BiliRoaming,PR Build' 'active' '19074430' 'Android CI' 'active' '91745' 'pages-build-deployment' 'active' '16422189,
facebook/facebook-android-sdk,Run testsuite with gradle' 'active' '3577933' 'Assemble build with gradle' 'active' '5863882' 'Close stale issues and PRs' 'active' '13995818' 'Issue Needs Attention' 'active' '14564076,Please do not open GitHub issues or pull requests  this makes the problem' 'immediately visible to everyone including malicious actors Security issues in' 'the SDK can be safely reported via Facebooks Whitehat Bug Bounty program' 'facebookcomwhitehat' 'Facebooks security team will triage your report and determine whether or not' 'is it eligible for a bounty under our program
iSoron/uhabits,Build & Test' 'active' '108527' 'Build & Test' 'active' '8473513' 'Build & Test' 'active' '8478747,
igorwojda/android-showcase,run android lint' 'active' '5837562' 'build debug' 'active' '5837563' 'update gradle cache' 'active' '5837564' 'run detekt' 'active' '5837565' 'run unit test' 'active' '5837566' 'run ui test' 'active' '9626256,
