author_repo,wf_contents,security_policy
blockscout/blockscout,Blockscout' 'active' '1978444' 'Publish Docker image for specific chain branches' 'active' '23432865' 'Publish Docker image on every push to master branch' 'active' '31504492' 'CodeQL' 'active' '32311886' 'Run E2E tests k8s' 'active' '39398024,vulnerabilities responsibly' 'If you would like to report a vulnerability in one of our products or have' 'security concerns regarding BlockScout software please email' 'securityblockscoutcom' 'In order for us to best respond to your report please include any of the' 'following' '     Steps to reproduce or proofofconcept' '     Any relevant tools including versions used' '     Tool output' 'Bounties for critical issues will be discussed case by case in email' 'conversations
edgurgel/httpoison,CI' 'active' '4135030,
quantum-elixir/quantum-core,Main Branch' 'active' '26695147' 'Daily' 'active' '26695148' 'ASDF Update' 'active' '26695149' 'Dependabot' 'active' '26695150' 'Documentation' 'active' '26695151' 'Release' 'active' '26695152' 'Test' 'active' '26695153' 'Detect Tool Versions' 'active' '26695154' 'Pull Request' 'active' '26694735' 'Beta Tag' 'active' '26695155' 'Stable Tag' 'active' '26695156,
elixir-nx/nx,Test' 'active' '9179845,
dashbitco/broadway,CI' 'active' '2178120,
nerves-project/nerves,,
devinus/poison,ci' 'active' '11539149,
elixirkoans/elixir-koans,Elixir CI' 'active' '19059721,
ergo-services/ergo,TestLinuxWindowsMacOS' 'active' '4973882,
thoughtbot/bamboo,,
philss/floki,CI' 'active' '227214' 'CI' 'active' '50316,
thoughtbot/ex_machina,,
elixir-tesla/tesla,Test' 'active' '167325' 'Hexpm Release' 'active' '27085405' 'Test' 'active' '98414,
bitwalker/libcluster,elixir' 'active' '9026354,
KronicDeth/intellij-elixir,Release' 'active' '937023' 'Test' 'active' '937024,
bitwalker/timex,elixir' 'active' '808291,
commanded/commanded,Test' 'active' '1885380,
netgusto/nodebook,,
elixirscript/elixirscript,,
discord/manifold,,
beam-community/elixir-companies,Continuous Integration' 'active' '1058214,
jeremyjh/dialyxir,CI' 'active' '7051322,
extism/extism,C++ CI' 'active' '43489879' '.NET CI' 'active' '43489887' 'Elixir CI' 'active' '43489885' 'Go CI' 'active' '43489881' 'Haskell CI' 'active' '43489882' 'Java CI' 'active' '43489900' 'Node CI' 'active' '43489886' 'OCaml CI' 'active' '43489884' 'PHP CI' 'active' '43489888' 'Python CI' 'active' '43489883' 'Ruby CI' 'active' '43489878' 'Rust CI' 'active' '43489880' 'Zig CI' 'active' '44154338' 'CI' 'active' '33225984' '.github/workflows/extism.yml' 'active' '38660907' 'Release .NET Native NuGet Packages' 'active' '42610778' 'Release .NET SDK' 'active' '42610779' 'Release Elixir SDK' 'active' '39661487' 'Release Rust SDK' 'active' '42608045' 'Publish package to the Maven Central Repository' 'active' '43483476' 'Release Node SDK' 'active' '39661488' 'Release Python SDK' 'active' '39661489' 'Release Ruby SDK' 'active' '39661490' 'Release Rust SDK' 'active' '39661491' 'Release' 'active' '33226007,
ueberauth/ueberauth,Continuous Integration' 'active' '14283173' 'Hexpm Release' 'active' '14283174,SSuuppppoorrtteedd VVeerrssiioonnss' 'EElliixxiirr aanndd EErrllaannggOOTTPP' 'We do our best to follow Elixir Compatibility and Deprecations we are' 'committed to only support the latest version of Elixir' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'You can report a vulnerability by contacting us via Vulnerability Disclosure' 'Discussion
danschultzer/pow,CI' 'active' '3825694,
elixir-wallaby/wallaby,CI' 'active' '107156,
michalmuskala/jason,Elixir CI' 'active' '2201321,
akira/exq,Test' 'active' '4121443' '.github/workflows/hex.yml' 'active' '41499755,
bors-ng/bors-ng,CI' 'active' '6163676,
modelfoxdotdev/modelfox,,
nccgroup/sobelow,Elixir CI' 'active' '184524' 'Elixir CI' 'active' '273553,
bake-bake-bake/bakeware,CI' 'active' '8043509,
koudelka/visualixir,,
riverrun/comeonin,,
swoosh/swoosh,Elixir CI' 'active' '650126' 'Publish Docs' 'active' '15422254' 'Publish' 'active' '15422413' 'Release Drafter' 'active' '2405319' 'Spellcheck' 'active' '43380464,
smpallen99/coherence,,
bencheeorg/benchee,CI' 'active' '1792399,
zhongwencool/observer_cli,Erlang CI' 'active' '2975754,
sger/ElixirBooks,AwesomeBot' 'active' '32371505,
smpallen99/ex_admin,,
lucasvegi/Elixir-Code-Smells,pages-build-deployment' 'active' '34401991,
elixir-mint/mint,CI' 'active' '298368,
elixir-grpc/grpc,CI' 'active' '74412,
devonestes/fast-elixir,,
elixir-nx/axon,Docs' 'active' '12620553' 'Test' 'active' '7570559' 'pages-build-deployment' 'active' '16619367,
stavro/arc,,
wende/elchemy,,
witchcrafters/witchcraft,.github/workflows/ci.yaml' 'active' '6715230' 'Greetings' 'active' '6715231,
bitwalker/swarm,,
elixir-desktop/desktop,CI' 'active' '13210729,
derekkraan/horde,,
atomvm/AtomVM,Build and Test on macOS' 'active' '19764875' 'Build and Test on Other Architectures' 'active' '19756468' 'Build and Test' 'active' '19536179' 'Check formatting' 'active' '19811409' 'CodeQL' 'active' '19801670' 'ESP32 Builds' 'active' '19617731' 'ESP32 Test' 'active' '35093143' 'Pico Build' 'active' '40718956' 'REUSE Compliance Check' 'active' '18649136' 'Run tests with BEAM' 'active' '40372289' 'STM32 Build' 'active' '40265077,SSuuppppoorrtteedd VVeerrssiioonnss' 'VVeerrssiioonn SSuuppppoorrtteedd' '    ' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'To submit a vulnerability report please contact us at davide at uninstallit' 'Please ddoo nnoott uussee GGiittHHuubb iissssuueess ffoorr vvuullnneerraabbiilliittyy rreeppoorrttss Your submission' 'will be promptly reviewed and validated by a member of our team
elixir-lsp/elixir-ls,CI' 'active' '3884752' 'Build and Publish docsite' 'active' '16014910' 'Elixir CI' 'active' '3157668' 'pages-build-deployment' 'active' '27897437,
discord/fastglobal,,
derrickreimer/level,,
blackode/elixir-tips,pages-build-deployment' 'active' '21366763,
aesmail/kaffy,Kaffy CI (Elixir 1.10)' 'active' '14846057' 'Kaffy CI (Elixir 1.10)' 'active' '14845560' 'Kaffy CI (Elixir 1.11)' 'active' '14845558' 'Kaffy CI (Elixir 1.12)' 'active' '14845559' 'pages-build-deployment' 'active' '29996964,
edgurgel/poxa,CI' 'active' '26806943,
sneako/finch,CI' 'active' '953498,
whatyouhide/redix,CI' 'active' '547986,
