author_repo,wf_contents,security_policy
tlienart/Franklin.jl,CompatHelper' 'active' '1896' 'TagBot' 'active' '529861' 'CI' 'active' '4070621' 'Build and Deploy' 'active' '2246901' 'pages-build-deployment' 'active' '16424069,
xu-cheng/latex-action,Test Github Action' 'active' '169895' 'Test Github Action' 'active' '50719,
gillescastel/latex-snippets,,
sylvainhalle/textidote,pages-build-deployment' 'active' '16392790,
upb-lea/reinforcement_learning_course_materials,Build and render Latex documents to PDF' 'active' '11087462,
kourgeorge/arxiv-style,,
texworld/betterbib,test' 'active' '180003,
darwiin/yaac-another-awesome-cv,,
goessner/mdmath,pages-build-deployment' 'active' '20310426,
guanyingc/latex_paper_writing_tips,,
Hannah-Sten/TeXiFy-IDEA,CI' 'active' '882417' 'Youtrack Issue Linker' 'active' '5226827,
JuliaEditorSupport/julia-vim,,
LinXueyuanStdio/LaTeX_OCR_PRO,,
kks32/phd-thesis-template,,
dustinvtran/latex-templates,,
opieters/business-card,,
mrzool/invoice-boilerplate,,
Just-A-Visitor/Algorithmic-Pseudocode,pages-build-deployment' 'active' '36835448,
source-academy/sicp,CodeQL' 'active' '14333240' '.github/workflows/deploy-pages.yml' 'active' '1548136' 'pages-build-deployment' 'active' '16483610,
cmhughes/latexindent.pl,Batch check of latexindent.pl' 'active' '12646301' 'latexindent.pl main branch pull request monitor and feedback' 'active' '16812394' 'Release GitHub Container Registry Package' 'active' '28043283' 'latexindent.pl run test-cases/test-cases.sh if key files changed' 'active' '28527902' 'build latexindent executables and documentation and upload to release page' 'active' '39092700,
SuprDewd/T-414-AFLV,,
asc-community/AngouriMath,Kernel Benchmark' 'active' '2306399' 'F# Test' 'active' '3739089' 'C++ Build' 'active' '7337839' 'C++ Test' 'active' '7340080' 'F# Build' 'active' '7436590' 'Solution Build' 'active' '7436591' 'C# Test' 'active' '7436592' 'C#/Kernel Build' 'active' '7436593' 'Interactive Build' 'active' '8320047' 'Interactive Test' 'active' '8320093' 'Upload last-master versions to MyGet' 'active' '9129629' '.github/workflows/codecov.yml' 'active' '9203319' 'C++ Test' 'active' '9221657' 'Integration Test' 'active' '9296873' 'Terminal nightly builds' 'active' '11916562,
