author_repo,wf_contents,security_policy
chiraggude/awesome-laravel,,
the-control-group/voyager,automerge' 'active' '67520' 'Compile Assets' 'active' '68110' 'Coverage' 'active' '97317' 'Lock issues' 'active' '1316000' 'Tests' 'active' '97318,or emptynick directly in our slack group' '' 'httpsvoyagerslackinvitationherokuappcom' '' 'We request that you do NOT report it publicly until weve had a chance to' 'confirm the issue and provide a fix
SpartnerNL/Laravel-Excel,Run tests' 'active' '1703158,PPLLEEAASSEE DDOONNTT DDIISSCCLLOOSSEE SSEECCUURRIITTYYRREELLAATTEEDD IISSSSUUEESS PPUUBBLLIICCLLYY SSEEEE BBEELLOOWW' 'SSuuppppoorrtteedd VVeerrssiioonnss' 'VVeerrssiioonn SSeeccuurriittyy FFiixxeess UUnnttiill' '     ' '     ' '     ' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'If you discover a security vulnerability within Laravel Excel please send an' 'email to Patrick Brouwers at patrickspartnernl All security vulnerabilities' 'will be promptly addressed
spatie/laravel-permission,Run Tests - Current' 'active' '2239458' 'Run Tests - Older' 'active' '2479112' 'Update Changelog' 'active' '15276692' 'dependabot-auto-merge' 'active' '42259887' 'Fix PHP code style issues' 'active' '42677187,
octobercms/october,Code Quality' 'active' '4514' 'Tests' 'active' '4516' 'Code Quality' 'active' '11170,PPLLEEAASSEE DDOO NNOOTT DDIISSCCLLOOSSEE SSEECCUURRIITTYYRREELLAATTEEDD IISSSSUUEESS PPUUBBLLIICCLLYY SSEEEE BBEELLOOWW' 'SSuuppppoorrtteedd VVeerrssiioonnss' 'October CMS is an evergreen product no one version is singled out for security' 'fixes because there is no way to update just one version Builds are' 'continually released and security fixes will always be available in the latest' 'build' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'If you discover a security vulnerability within October CMS please send an' 'email to the team at hellooctobercmscom All security vulnerabilities will be' 'promptly addressed
tymondesigns/jwt-auth,PHPUnit tests' 'active' '3999539,
BookStackApp/BookStack,phpunit' 'active' '41518' 'phpunit' 'active' '191819' 'test-migrations' 'active' '2679056' 'phpstan' 'active' '14959930' 'lint-php' 'active' '35151965' 'analyse-php' 'active' '35181224' 'test-php' 'active' '35181225,SSuuppppoorrtteedd VVeerrssiioonnss' 'Only the latest version of BookStack is supported We generally dont support' 'older versions of BookStack due to maintenance effort and since we aim to' 'provide a fairly stable upgrade path for new versions' 'SSeeccuurriittyy NNoottiiffiiccaattiioonnss' 'If youd like to be notified of new potential security concerns you can signup' 'to the BookStack security mailing list' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'If youve found an issue that likely has no impact to existing users For' 'example in a developmentonly branch feel free to raise it via a standard' 'GitHub bug report issue' 'If the issue could have a security impact to BookStack instances please use' 'one of the below methods to report the vulnerability' '     Directly contact the lead maintainer ssddanbrown' '          o You will need to login to be able to see the email address on the' '            GitHub profile page' '          o Alternatively you can send a DM via Twitter to ssddanbrown' '     Disclose via huntrdev' '          o Bounties may be available to you through this platform' '          o Be sure to use httpsgithubcomBookStackAppBookStack as the' '            repository URL' 'Please be patient while the vulnerability is being reviewed Deploying the fix' 'to address the vulnerability can often take a little time due to the amount of' 'preparation required to ensure the vulnerability has been covered and to' 'create the content required to adequately notify the userbase' 'Thank you for keeping BookStack instances safe
alexeymezenin/laravel-best-practices,,
guyueyingmu/avbook,,
laravel/lumen,,
